BRA,Summary
No,Firefox should show better indicators for RC4 sites
No,[UX] Design Spike: Visual improvements of the awesomebar
No,[e10s] Re-enable browser_urlbarRevert.js
No,e10s - fix browser_wyciwyg_urlbarCopying.js
No,e10s - fix browser_url* tests to run under e10s
No,[OSX] Pocket panel for ru locale build has misaligned elements
No,"tests using check_autocomplete should check what the ""selected"" item is."
No,unified autocomplete broke my most frequently autocompleted items
No,"No favicon for ""host"" autocomplete entries"
No,Disable Search Provider Top Suggestion feature
No,Entering 127.0.0.1/1 and the like performs a search instead of loading the site
No,Flickering in URLBar while entering URL bar that is the current top match
No,Deleting a character needs pressing [DELETE] key more than twice in Location Bar
No,Add unit tests for search suggestions in awesomebar
No,Add restrictSearchesToken to allow to use the locationbar as the search bar
No,Work around bug 924069 in the Firefox front-end code
No,Investigate a better frecency mix for search suggestions
No,The awesomebar shows a search as first suggestion for typed IPv6 URLs
No,this.editor is null (line 161 in browser/omni.jar!/chrome/browser/content/browser/urlbarBindings.xml)
No,urlbar binding has two focus handlers
No,"Focusing an element inside the location bar (e.g. notification icons, identity icon) removes domain highlighting"
No,Address bar will not load an autocompleted URL if you edit it
No,"location bar shows ""search with Google"" as the default action even when keyword.enabled is false"
No,"Frequently triggers ""TypeError: this._searchSuggestionController is null"""
No,All mixed content states are visible on any page in control center
No,Action row doesn't always update correctly with unified autocomplete
No,[e10s] Location bar retains invisible selection and does not permit text drop
No,browser_urlbar_autoFill_backspaced.js is going to permafail when Gecko 42 merges to Aurora
No,Revert part of Bug 1176205 once search suggestions hit Aurora
No,Make dragging external URI onto newtab grid work in e10s
No,Race condition in browser.urlbar.suggest. preferences handlers
No,Add Search suggestion toggle to location bar preferences
No,Hide search settings footer until it is complete
No,"Intermittent browser_urlbarDelete.js | ""xample.com/"" == ""xam"" - JS frame :: chrome://mochitests/content/browser/browser/base/content/test/general/browser_urlbarDelete.js :: testDelete :: line 47 etc..."
No,Prompt to opt-in/out search suggestions still shown after answered in another window
No,"Location bar search suggestion include things that look like URLs (e.g. ""bankofamerica.com"") which surprisingly take you to a search results page instead of to the URL"
No,Autocomplete dropdown should animate when resizing
No,Disallow javascript: and data: URLs entered into the location bar from inheriting the principal of the currently-loaded page
No,"I cannot choose ""Would you like to improve your search experience with suggestions?"" [No][Yes] with keyboard"
No,Focus urlbar when search suggestions opt-in is dismissed only after pressing an opt-in accesskey
No,Focus is immediately grabbed by the AutoComplete/tags or bookmarks suggestion list when you start typing in the awesome bar
No,formatValue ends up forwarding uriFixup exceptions to callers when it shouldn't
No,urlbar a11y still broken by search suggestions opt-in prompt/notification
No,URL spoofing by repeatedly navigating (and cancelling) the location
No,"Inline urlbar buttons (identity block, go/stop/reload, reading list, ...) and autocomplete dropdown arrow should have proper label"
No,"Remove the location bar's ""title"" attribute"
No,Rephrase the history dropdown's aria-label and use it as the tooltip too
No,completion in urlbar is copied to X primary selection
No,Dragging selection into location bar doesn't set GO button immediately
No,long EV cert owner string obscures URL in location bar
No,Back button on location bar looks wonky
No,Address bar reverts to previous page's URL when entering an invalid URI with keyword.enabled=false
No,Location bar should be kept focus after selected the Search suggestions prompt by keyboard access key
No,"Searches initiated by search suggestions in the locationbar don't increment the ""search"" / ""urlbar"" telemetry countable"
No,Allow unified complete to consume matches asynchronously
No,FX_URLBAR_SELECTED_RESULT_TYPE and FX_URLBAR_SELECTED_RESULT_INDEX are expired already
No,Clear identity block when typing a different URL into location bar
No,Search engine results in the location bar hurt awesomebar's usability for finding visited pages
No,Let unified autocomplete ride the trains
No,"Can't see visible action when I click ""Change Search Settings"" if about:preferences#search is already opened"
No,"browser_urlbarSearchTelemetry.js,browser_urlbarSearchSuggestions.js,browser_urlbarSearchSuggestionsNotification.js,browser_urlbarSearchSingleWordNotification.js leak until shutdown on mozilla-aurora 45"
No,"Searches initiated by clicking the action row in the locationbar don't increment the ""search"" / ""urlbar"" telemetry countable"
No,Cannot remove first entry from awesome bar
No,location bar suggestions disappear if mouse moves
No,Location bar should encode parentheses on copy
No,Change the default favicon from an empty dashed-box to a globe.
No,URL bar highlighting treats URLs with hyphenated schemes (e.g. view-source) as scheme-less
No,Telemetry experiment for unified urlbar-searchbar with one-off search buttons
No,e10s - fix browser_autocomplete_a11y_label.js to not time out when run with other tests
No,Stops working open a new tab from a search suggestion in locationbar(with Ctrl+click or with wheel mouse button)
No,Intermittent browser_action_keyword.js | Uncaught exception - at :0 - Error: operation not possible on dead CPOW
No,Temporarily disable Unified Complete due to regressions
No,Fix issue with sending of Content:LoadURIResult
No,prepend http:// to URL copy selection if URL has been selected (but not loaded) from location bar
No,"After entering http:// or https:// in Location Bar , the Location Bar will no longer function."
No,Typing fast in address bar and pressing enter leads to missing end characters
No,Excessively cropped results in new Awesome Bar style
No,The location bar should displays 10 autocomplete suggestions without scrollbar instead of 6
No,Use the 'right' HTML input type attributes for the location bar and search bar to get a better on-screen keyboard for them on Windows
No,Urlbar incorrectly highlights domain name if there's whitespace at the end
No,address bar pull down delete deletes wrong entry
No,Intermittent browser_bug304198.js | Found an unexpected tab at the end of test run: http://example.org/browser/browser/base/content/test/general/dummy_page.html -
No,Intermittent browser_urlbarSearchSuggestions.js | The search results page should have loaded - false == true - JS frame :: browser_urlbarSearchSuggestions.js :: clickSuggestion :: line
No,"Copying ""normal"" URL from location bar when in reader mode broke (now includes ""about:reader?url="" and escapes the real URL)"
No,Don't use margin-left on PopupAutoCompleteRichResult with RTL locales
No,Awesomebar popup truncates text incorrectly in RTL
No,Em dash separator between title and URL/action is incorrectly placed for URLs in RTL in the awesomebar popup
No,"Urlbar inconsistently sets either icon in identity block, or url"
No,We lost the sync/tabs-from-other-devices tab icon in the awesomebar popup redesign
No,Identity block hover background color is jarring on the dark Dev Edition theme
No,Identity block doesn't keep background color when control center is open
No,Rewrite existing tests using the old TP/MCB shield
No,Identity block should change background color on hover and always be separated from page address
No,[userstory]  CC: Site Permissions subpanel
No,Group the existing site identity URL bar icon with the tracking protection shield when TP is enabled
No,Investigate - TP shield shows up incorrectly when pressing back while loading a page with tracking elements
No,Add sections and sorting for permissions in subpanel to match designs
No,The grouped identity block is overlapping with the separator icon in osx 10.10 when the url bar isn't focused
No,Simplify gIdentityHandler and show connection type in the fullscreen notification
No,Identity block background bleeds over URL bar border when the window is inactive
No,Anchor the Control Center to the middle of the icons in the identity block
No,Re-enable inline autocomplete once its blockers are fixed
No,"Em dash separator in awesomebar popup has incorrect spacing/padding on Windows, Linux in RTL"
No,"Locationbar uses grey text on grey background for tags, that is barely readable"
No,my awesomebar is running out of ink
No,New awesomebar design: Come up with better text emphasis/highlight solution for Windows non-default system themes and Linux
No,Visual design for search prompt in awesomebar results.
No,User typed value is lost in e10s when the load produces an error page without keyword.enabled
No,Support the .com button on the virtual keyboard
No,Move urlbar-related tests into the urlbar directory (out of general)
No,Remove leftover references to unifiedComplete pref
No,"When browser.urlbar.unifiedcomplete is False, every first time typing something to location bar there is no drop down menu"
No,location bar continues displaying wyciwyg URI and resource URI if user tries to navigate to it manually
No,Autocomplete popup displays wrong message when typing only a search keyword
No,First suggestion isn't selected (e.g. can't see the search engine) when I open suggestions via Down key
No,Url stays in location bar when I open homepage
No,Typed text on url bar is lost with unified complete
No,"With UnMHT add-on, after switching to another tab, the another tab still shows url of a previous tab."
No,Location bar displays many duplicates in suggestions when I delete items
No,Escape key cancels page loading if I try to cancel typed string (does 2 actions at the same time)
No,"Urlbar ignores protocol which results in wrong suggestions (e.g. for keywords). https://, http://, ftp:// are affected"
No,Urlbar doesn't highlight search terms in suggestions (behavior is illogical)
No,"Identity popup sometimes doesn't display EV/DV site identity above ""Secure connection"" label"
No,Enter/return key opens entries from drop down menu without pressing arrow keys first on FF 31+
No,Awesomebar-results-pane repeatedly opening up when typing a visited domain
No,First urlbar suggestion doesn't show favicons for visited sites when I type url
No,Urlbar sometimes show different suggestions for the same input string displayed in the urlbar
No,Separator em dash is incorrectly shown for bookmark keyword searches
No,Adjust the vertical padding of the identity box across platforms
No,Can't Ctrl+Tab away after typing something in the location bar
No,"Useless one free space between dropmarker and separator in address bar - round 2, fight"
No,Pressing tab key in address bar selects one-off search buttons instead of the entries in the history dropdown list
No,Awesomebar result providers should be able to use different heights per item
No,Emphasize search terms in awesomebar results using bold face
No,Awesomebar search buttons show auto completed text not user input
No,Autocomplete suggestions just don't go away after Win+Down
No,"When I switch back to the first suggestion, new urlbar: [1] changes original input (converts to lower case; adds/removes http:// and /)   [2] does that inconsistently"
No,Suggestions twitch when I edit string in location bar
No,"Autocomplete popup displays ""moz-action:searchengine,..."" for keyword searches while pressing Shift"
No,"Unified autocompletion ""Visit"" feature doesn't use https for https-only websites"
No,System font setting respected by location bar but ignored by location bar's autocomplete drop-down list
No,"Issues with duplicating ""http://"" when copying from the location bar with trimURLs enabled (the default) and the http URL has its protocol displayed anyway to avoid it triggering searches"
No,browser.fixup.dns_first_for_single_words prevents location bar search suggestions even when there's more than one token and/or the first token is not a single word
No,Awesomebar suggestions are very slow with a lot of tags
No,"Location bar search for a numeric division (e.g. 123/2) with no internal spaces suggests navigating to an IP address (e.g. ""0.0.0.123"")"
No,Make formatValue more resilient to spoofing attacks
No,"Permaorange Aurora browser-chrome tests failing with browser_autocomplete_autoselect.js | Expected one-off button should be selected - Got -1, expected 0"
No,"perceptible pause before navigating when pasting a link and quickly hitting ""enter"""
No,Update the heuristic result contents for canonize url
No,Improve location bar delayed Enter behavior
No,"In some cases Enter key doesn't work in Urlbar, and random pages load during typing (100% str)"
No,"Sees hexdecimal code as URL and asks me to go there, nothing happens."
No,Entering URL without hitting Enter in location bar then tearing the tab deletes the entered URL
No,"When the one-off search settings button is selected, clicking a urlbar result opens the search settings/preferences"
No,Keyword search is always performed in lowercase
No,JSON fragments visible when typing double quotes into location bar
No,"enter in location bar (URL bar) for bookmark keyword immediately followed by opening new tab sometimes loads url in new tab instead of old, particularly under high load"
No,Entering URL into Address Bar Initiates Connection
No,"Intermittent browser/base/content/test/urlbar/browser_urlbarCopying.js | loaded expected URL - Got about:blank, expected http://example.com/"
No,results left offset doesn't take <toolbaritem> nodes into account
No,"Intermittent browser/base/content/test/urlbar/browser_urlbarTrimURLs.js | expected page should have loaded - Got about:blank, expected http://example.com/"
No,Remove leftover chrome://browser/skin/actionicon-tab*.png files
No,Security: Partial Address Bar Spoofing in Firefox V51.0(Nightly)
No,"""Paste and Go"" does not work if CRLF exists at the end of clipboard url."
No,"location bar autocompletes bookmarked sites when ""suggest bookmarks"" is unchecked"
No,Move nsBrowserGlue.js _handleURLBarTelemetry() into BrowserUsageTelemetry
No,Some fields have been converted to properties and won't reset anymore when the binding is recreated
No,"Location bar search for a number suggests navigating to an IP address (e.g. 123 and ""0.0.0.123"")"
No,Private tab clears location bar when finishes loading even if I already typed something (especially noticeable in e10s)
No,Bad a11y when pressing Left and Right while the urlbar autocomplete popup is focused
No,"Leftarrow/rightarrow (and ctrl+rightarrow) jumps to the end of URL, if Unified Autocomplete dropdown has just appeared"
No,[e10s] URL bar hash not updated after navigating to about:debugging or other parent process page from a content process page (e.g. website)
No,chrome://browser/skin/places/autocomplete-star@2x.png is packaged but not used on Mac
No,URI spoof when opening page in a new tab with a moz-action URI
No,HTTP(S) URL spoof in location bar
No,"Intermittent browser/base/content/test/urlbar/browser_locationBarCommand.js | New URL is loaded in new window - Got , expected example.com"
No,Round brackets are escaped when copy-and-pasted from the location box.
No,cannot drop selected text on Location Bar from content area
No,manually added URLs with REDIRECT are falsely preferred to redirect target
No,"Always present a 'search' option when the location bar search is ""fixed"" to an URL"
No,Search a string looking like a URL using a one-off button doesn't open the search results
No,The new location bar autocomplete drop down menu starting from 48 has serious performance issue and often blocks user's <Enter> input
No,The awesomebar dances up and down with each character typed when the text entered looks like a URL
No,URLBar shouldn't be handling keyword searches itself when UnifiedComplete is enabled
No,history dropmarker keep place and cover the content of urlbar while it has disappeared
No,Consider whether to revert the URL bar straight after 'paste and go' usage
No,Urlbar doesn't properly unescape ASCII url
No,Autofill in urlbar doesn't follow normal text selection behavior
No,Urlbar deletes all typed text when page finishes loading (and suggestions are irrelevant to the string in urlbar)
No,Store list of pre-seed top web sites for autocompletion in a file.
No,Fix unit test  for storing prefill sites in a file
No,"X primary selection clobbered with ""about:home"" when focusing the location bar of a new window"
No,Zoom indicator (urlbar-zoom-button) is gone when moved to new window
No,Awesomebar result providers should be able to add document fragments or iframes
No,[unifiedcomplete] First suggestions shows originally typed word instead of selected suggestion and brings confusion (sometimes)
No,"[unifiedcomplete] The first suggestion randomly displays autofilled text, so Enter doesn't apply to text in location bar"
No,using ctrl / shift + enter seems to save the URL to a hidden clipboard that populates when hitting enter (hard to describe).
No,"Address bar uses most recently entered URL, not URL in bar, after using CTRL+ENTER"
No,Firefox adds http:// and / when browser.urlbar.trimURLs = false and keyword.enabled=false
No,Consider making FX_URLBAR_SELECTED_RESULT_TYPE opt-out
Yes,Inconsistencies with visual cue used for remote controlled browser session
Yes,Users can be tricked into thinking sites are encrypted with new visual cues added by bug 417844
Yes,Metro firefox needs a visual cue when a URI is loading
Yes,no visual cue on how to exit customization mode in UX builds
Yes,[Linux] No visual cue as to what item is selected via keyboard navigation in in-content preferences
Yes,Most visited tab displays the URL of IDN in Punycode transcription.
Yes,Text referencing Talkback in about:license should be removed
Yes,Talkback installer percent should be set back to 20% for final-ish releases.
Yes,Installer Does not close Mozilla gracefully; Talkback pops up
Yes,Crash; Talkback window has no buttons
Yes,Talkback is unable to connect to report crashes
Yes,Talkback server needs to be functional for final 1.5 release
Yes,Talkback is not installed with the installer
Yes,"Talkback ""not compatible"" with 1.6a1"
Yes,crash (see Talkback event TB11273741W)
Yes,Talkback is not triggered on Firefox crashing
Yes,Talkback fails to remember settings
Yes,"Firefox crashes on startup, Talkback does not trigger."
Yes,Crash on startup with Talkback enabled using XP x64 SP1 [@ msvcrt.dll + 0x48cc3 (0x77be8cc3)]
Yes,FireFox sometimes crashes (opens Talkback) when closing while applet running [@ IM_get_input_context]
Yes,DOM inspector and Talkback not installed in trunk
Yes,Firefox not starting with the Talkback extension enabled
Yes,"FireFox crashing on this site, Talkback agent *does not* catch this crash"
Yes,Quality Feedback agent (Talkback) does not come up when Firefox freezes
Yes,Talkback no longer working
Yes,Javascript popups crashes Firefox when Talkback add-on is enabled
Yes,shut down Firefox by data execution prevention no Talkback
Yes,Talkback network error -- processing failed
Yes,Set Talkback random percent to 100% for nightly builds
Yes,Installer chokes on Talkback : -214 DOES_NOT_EXIST
